Well,Well Position,Sample,Experiment,Temperature,RP5,E3UL,Actine,Hsp70_13,Hsp70_i,HIF,PK,CS,Hsp70_B2,Hsp70_A2,Hsp70_12A,Hsp70_C4,SOD,PEPCK,GAPDH,COXIII,ENO,HK,GLR,LON,AspAT,GST,LCF
82,G10,105,hypercapnia,30.C,22.752,25.746,17.356,26.1698513,23.25204849,23.748,24.811,26.043,21.815,24.087,28.422,21.572,27.38,26.261,22.174,19.05032472,23.643,20.065,27.411,26.50947789,25.36474873,23.989,25.363
65,F5,106,hypercapnia,30.C,NA,28.643,18.574,28.73271561,24.97236633,26.167,26.388,29.518,23.971,25.178,30.623,22.789,28.393,28.914,23.253,20.59613351,24.803,21.15,30.255,28.42070798,26.78173901,26.758,27.503
66,F6,106,hypercapnia,30.C,22.974,28.663,18.716,28.61467361,24.99235916,26.319,26.581,29.798,23.886,25.245,30.319,22.94,28.484,28.898,23.3,20.45261888,24.696,21.12,30.09,28.37032536,26.71566464,26.683,27.556
53,E5,107,hypercapnia,30.C,21.799,26.596,15.812,26.52740479,21.94233704,23.966,23.769,26.245,21.377,22.767,28.462,21.857,26.115,25.664,20.41,18.55941391,21.876,19.225,27.972,26.34695816,25.02686691,25.138,25.148
54,E6,107,hypercapnia,30.C,21.565,26.687,15.803,26.52549553,22.11088181,24.019,23.581,26.174,21.392,22.843,28.495,21.99,26.09,25.879,20.652,18.53630829,21.449,19.212,28.124,26.40849304,24.95118904,25.055,25.009
73,G1,112,hypercapnia,32.C,22.237,26.976,18.213,27.0258007,19.68179703,23.993,26.03,27.402,20.888,22.474,28.971,21.873,27.521,25.85,22.94,19.20820999,25.246,21.166,28.639,26.51785469,26.46654892,24.356,25.081
74,G2,112,hypercapnia,32.C,22.436,26.924,18.231,27.1058979,19.68313026,23.919,25.976,27.391,20.945,22.407,29.312,21.909,27.492,25.835,22.936,19.95800972,25.081,21.324,28.913,26.62556648,26.38940811,24.328,NA
39,D3,115,hypercapnia,32.C,21.982,26.699,17.261,27.25721931,20.3718605,23.932,25.416,27.203,20.726,22.37,28.65,21.601,26.967,25.809,21.931,18.42263412,24.198,21.462,29.147,26.31825638,25.82867432,25.523,25.035
40,D4,115,hypercapnia,32.C,21.972,26.701,17.334,27.01667976,20.39651108,23.815,25.354,27.175,20.703,22.198,29.584,21.886,26.985,25.882,21.979,18.21866417,24.353,21.071,28.802,26.58559036,25.93481064,25.504,24.994
63,F3,116,hypercapnia,32.C,21.844,26.324,18.429,26.10270882,19.70158195,23.432,26.156,26.837,21.226,21.879,28.688,21.214,27.581,24.575,22.992,17.28926468,25.007,21.247,28.242,26.3068943,25.94729233,24.867,24.61
64,F4,116,hypercapnia,32.C,21.765,26.226,18.397,26.15468597,20.01473236,23.905,26.289,26.87,21.414,22.084,28.58,21.535,27.457,24.576,23.089,18.58680916,25.162,21.195,28.314,26.32398415,25.92484856,24.816,24.643
5,A5,117,hypercapnia,32.C,22.338,27.158,16.985,27.30869675,19.99713135,23.996,24.985,27.067,20.595,21.348,28.937,21.814,26.545,25.393,22.273,18.95628357,23.963,20.079,29.265,26.70663261,25.83642578,26.892,25.575
6,A6,117,hypercapnia,32.C,22.288,27.193,17.074,27.35870171,20.07933044,23.875,24.925,27.022,20.624,21.273,28.895,21.986,26.627,25.511,22.403,19.03297043,23.785,20.125,29.316,26.69116211,25.91664886,26.737,25.459
5,A5,117,hypercapnia,32.C,22.619,27.342,17.773,27.20860291,20.65321922,23.687,25.392,26.801,20.946,22.382,29.334,19.433,27.175,25.645,22.477,19.4150136,24.511,20.353,29.49,26.92931393,26.25177647,27.113,25.71
6,A6,117,hypercapnia,32.C,22.627,27.475,17.297,27.17794418,20.62950325,23.739,25.533,27,20.974,NA,29.229,19.887,27.102,25.614,22.591,19.11589555,23.993,20.27,29.557,26.76741818,26.13638188,27.055,25.691
9,A9,120,hypercapnia,32.C,21.999,26.944,16.993,27.17993927,20.9666996,23.696,24.715,27.796,21.017,22.885,29.315,22.209,26.994,26.195,22.202,19.08116722,24.483,20.777,28.688,26.68398476,26.10758972,25.352,25.703
10,A10,120,hypercapnia,32.C,21.958,26.946,16.96,26.9821682,21.2250061,23.768,24.801,27.777,21.055,22.891,29.09,22.248,26.977,26.301,22.045,19.05179405,24.347,20.364,28.66,26.84793282,25.97914124,25.256,25.606
29,C5,121,combined,18.C,21.94,27.15,16.897,29.405756,32.01883698,25.088,23.544,25.512,26.448,27.997,29.101,23.404,25.757,24.566,20.857,17.83864975,21.828,20.216,27.17,27.69693565,24.00342751,23.522,24.735
30,C6,121,combined,18.C,21.94,27.168,16.968,29.35953712,32.96773148,24.984,23.66,25.501,26.399,27.869,29.057,23.816,25.804,24.615,21.158,17.94687462,21.918,20.387,27.276,27.60393333,23.99748802,23.459,24.563
13,B1,122,combined,18.C,21.83,27.09,15.328,28.48595238,26.74152565,24.938,23.185,26.519,26.654,24.679,28.926,24.086,26.282,23.02,20.894,17.98005486,22.25,20.306,27.808,28.53508949,24.95273972,25.015,25.12
14,B2,122,combined,18.C,21.933,27.065,NA,28.55491447,26.86482811,24.974,23.168,26.558,26.635,24.565,29.045,24.251,26.346,23.07,20.932,17.61650658,22.208,19.994,27.617,28.33053589,24.69895172,24.726,NA
89,H5,124,combined,18.C,28.633,34.217,25.578,35.99751663,39.39938736,32.921,30.339,33.853,34.286,33.186,29.03225,30.412,32.732,33.769,27.448,26.73629121,28.867,25.16,32.775,35.66234998,32.26471402,31.359,31.606
90,H6,124,combined,18.C,28.505,34.794,25.635,NA,38.46030807,32.634,30.729,NA,34.169,33.262,NA,30.739,33.068,34.294,27.475,26.8507245,28.874,25.228,33.295,35.07416943,32.82441785,30.708,32.041
47,D11,125,combined,18.C,21.737,27.232,15.893,29.21806717,32.09032822,25.697,23.279,25.839,24.869,27.672,29.075,24.136,26.112,26.736,20.885,18.3134079,21.787,19.655,27.944,28.10173988,24.47379494,25.314,25.541
48,D12,125,combined,18.C,21.763,27.324,16.014,29.45373154,32.24013901,25.651,23.251,25.86,24.873,27.671,29.114,24.251,26.096,26.64,20.876,18.99479485,21.819,19.755,27.956,27.91677284,24.47056007,25.419,25.504
41,D5,127,combined,18.C,22.971,29.112,17.608,30.43724442,25.77702141,26.285,25.168,27.124,27.403,30.169,30.827,23.762,26.52,26.355,21.036,19.0453618,23.415,20.356,29.08,29.840668,25.72026707,25.594,26.372
42,D6,127,combined,18.C,22.958,29.342,17.658,30.11915016,NA,26.381,25.076,27.28,27.341,29.978,30.984,24.044,26.525,26.398,21.036,19.69968347,23.493,20.439,28.933,29.87466267,25.71268536,25.398,26.388
33,C9,130,combined,18.C,22.657,27.721,16.881,28.87218857,32.77544785,25.075,23.869,26.166,26.84,28.912,29.849,24.714,26.978,26.4,21.441,19.09011583,22.597,20.084,28.198,28.87675885,25.11691548,25.186,26.033
34,C10,130,combined,18.C,22.794,28.14,16.911,28.96180153,31.90436554,25.121,23.862,26.214,26.924,28.948,29.859,24.972,26.706,26.454,21.458,18.7194684,22.684,20.189,28.359,28.94735745,25.22018124,25.195,26.027
15,B3,131,combined,24.C,22.454,27.614,16.51,29.07938957,31.01509476,25.228,23.942,25.925,26.877,27.66,NA,23.329,26.741,27.177,21.451,18.89285211,22.734,19.354,29.476,28.45879391,25.42658879,25.046,26.228
16,B4,131,combined,24.C,22.581,27.352,16.552,28.56889915,31.29258347,25.148,24.074,26.028,26.964,27.671,28.945,23.875,26.749,27.054,21.454,17.46429567,22.828,19.346,28.695,28.43186215,25.37496259,25.145,26.417
13,B1,132,combined,24.C,21.676,26.807,17.104,27.64463615,27.88869858,25.243,24.557,25.975,26.414,26.586,29.915,23.199,26.364,23.995,21.576,17.87664346,23.755,19.716,27.654,27.86091069,24.82177998,24.386,25.275
14,B2,132,combined,24.C,21.603,26.706,NA,27.45053101,27.98592377,24.999,24.648,25.855,26.65,26.77,29.752,23.796,26.376,23.981,21.599,17.41489534,23.015,20.216,27.748,27.62895993,24.88846852,23.979,25.103
