Well,Well Position,Sample,Experiment,Temperature,RP5,E3UL,Actine,Hsp70_13,Hsp70_i,HIF,PK,CS,Hsp70_B2,Hsp70_A2,Hsp70_12A,Hsp70_C4,SOD,PEPCK,GAPDH,COXIII,ENO,HK,GLR,LON,AspAT,GST,LCF
34,C10,43,hypoxia,18.C,21.5,25.992,19.765,27.271,31.312,22.298,23.903,24.288,28.962,28.716,27.863,24.568,25.50200003,27.046,22.43,19.91169357,22.936,22.489,25.846,26.263,23.54233966,21.54878661,24.43637639
89,H5,44,hypoxia,18.C,21.438,26.176,19.633,28.205,31.225,24.086,24.562,25.609,28.103,28.988,28.934,24.271,24.72199934,23.145,22.826,17.43108559,24.118,23.464,26.627,26.189,22.60174022,21.6496472,23.997114
90,H6,44,hypoxia,18.C,21.516,26.293,19.689,27.988,31.001,24.004,24.948,25.513,28.023,28.962,28.876,24.359,24.71199911,23.125,22.768,18.53785706,23.997,23.355,26.467,26.208,22.56132541,21.56431624,23.85587483
41,D5,47,hypoxia,18.C,21.923,26.822,20.511,28.227,29.974,22.92,24.742,25.747,28.735,28.499,28.699,23.832,25.98599928,26.64,23.035,18.35881042,23.917,23.221,27.425,27.895,24.29993472,22.85483214,25.61574918
42,D6,47,hypoxia,18.C,21.973,26.822,20.471,28.419,30.278,23.116,24.711,25.859,28.782,28.664,28.442,23.986,26.01299971,26.494,23.007,18.49397087,23.754,23.125,27.381,27.758,24.26887927,22.85524222,25.80772572
15,B3,48,hypoxia,18.C,21.978,26.544,20.169,27.53,27.685,22.567,24.553,24.798,26.486,26.797,29.298,23.145,26.52399939,26.136,23.146,18.15908813,23.843,23.124,26.719,27.464,24.28491817,22.3141503,25.17980939
16,B4,48,hypoxia,18.C,21.926,26.491,20.1,27.402,27.542,22.765,24.967,24.914,26.349,26.965,29.319,23.111,26.52999991,26.126,23.142,18.3381443,23.856,23.144,26.697,27.42,24.30373988,22.45585295,25.11478024
75,G3,49,hypoxia,18.C,21.793,26.495,19.987,27.612,27.011,22.92,24.661,24.942,26.585,25.822,29.01,23.103,26.25699919,26.163,23.018,19.04401016,23.722,23.225,26.07,26.953,24.09951244,22.98414847,24.69928151
76,G4,49,hypoxia,18.C,21.79,26.346,19.924,27.696,26.97,22.641,24.624,24.924,26.559,25.84,29.172,23.043,26.25299948,26.062,22.998,17.55245972,23.692,23.209,26.057,26.917,24.10699687,23.20938918,24.61137753
75,G3,53,hypoxia,24.C,21.779,26.097,20.058,27.802,28.489,23.111,24.76,24.907,27.158,28.185,28.533,22.981,26.32500076,28.932,23.255,18.46054077,24.391,22.808,26.233,26.827,24.55828285,23.93598747,25.28093529
76,G4,53,hypoxia,24.C,21.75,26.126,19.922,27.743,28.641,23.007,24.756,24.985,27.019,28.248,28.492,22.957,26.3409996,28.609,23.138,19.24495888,24.301,23.063,26.397,27.038,24.40300179,23.78605652,25.4430294
15,B3,54,hypoxia,24.C,22.688,27.155,20.686,28.511,29.157,23.981,25.792,25.587,28.572,28.701,29.756,23.593,27.13500023,27.473,23.88,18.71159172,24.498,23.812,26.982,27.683,25.26323128,24.22522163,25.81550598
16,B4,54,hypoxia,24.C,22.787,27.259,20.744,28.369,29.226,23.934,25.747,25.609,28.697,28.777,29.736,23.713,27.08399963,27.385,23.801,18.44030571,24.581,23.807,27.133,27.838,25.23924828,24.31395912,25.77555847
43,D7,55,hypoxia,24.C,22.671,26.767,20.63,28.473,30.281,23.25,25.088,25.395,27.477,28.293,29.168,23.515,26.52200049,28.007,23.95,19.13882637,25.314,23.137,27.133,27.146,24.97942004,30.96893164,25.71195012
44,D8,55,hypoxia,24.C,22.716,26.837,20.687,28.322,30.118,23.273,25.184,25.452,27.478,28.178,28.965,23.527,26.59599989,28.112,23.987,18.96494293,24.563,23.068,27.147,27.315,24.89635883,31.10042616,25.7481001
13,B1,56,hypoxia,24.C,22.438,26.759,20.216,27.768,28.717,23.756,25.084,25.81,27.431,28.084,28.603,23.128,26.86799925,27.879,23.835,22.734972,24.235,23.261,26.844,26.887,24.46294627,24.83128401,25.71748334
14,B2,56,hypoxia,24.C,22.476,26.751,20.168,27.638,28.78,23.325,25.099,25.809,27.457,28.139,28.702,23.002,26.85600012,28.16,23.837,22.19275475,24.037,23.079,26.719,26.837,24.13690219,24.60146758,25.70021039
85,H1,57,hypoxia,24.C,22.35,26.671,20.233,27.878,28.893,23.574,25.383,25.519,27.472,27.551,28.839,22.571,26.76900023,26.47,24.392,18.35939217,25.005,23.446,27.152,27.487,24.1763824,24.45492216,25.94766789
86,H2,57,hypoxia,24.C,22.511,26.686,20.107,27.898,28.843,23.632,25.404,25.519,27.315,27.493,28.761,22.707,26.76599997,26.46,24.407,18.91973114,24.964,23.344,27.109,27.492,24.23208652,24.44193884,25.81759244
57,E9,59,hypoxia,24.C,23.096,27.097,20.887,28.289,29.923,25.036,26.166,25.979,28.019,28.783,29.356,24.138,26.08400076,26.991,24.688,19.07680893,25.584,24.259,27.25,26.857,23.08968959,24.07540938,25.56303387
58,E10,59,hypoxia,24.C,22.641,27.131,20.885,28.386,29.983,25.002,26.087,26.158,27.923,28.646,29.206,24.193,26.13899916,27.06,24.662,19.61634636,25.59,24.063,27.246,26.984,23.16729388,24.07662436,25.5230692
87,H3,61,hypoxia,30.C,21.578,26.228,20.543,25.962,24.663,23.991,25.038,25.553,23.329,26.119,28.096,21.212,26.39599913,27.42,23.445,17.73997688,24.154,23.331,27.16,25.761,24.14014659,20.5526261,25.34643727
88,H4,61,hypoxia,30.C,21.46,26.169,20.588,25.947,24.535,23.475,24.908,25.593,23.402,25.926,28.008,21.207,26.35200041,27.37,23.488,17.3919754,24.051,23.255,27.27,25.735,24.05777583,20.63718268,25.26387006
1,A1,62,hypoxia,30.C,21.066,25.772,20.784,25.125,23.294,23.192,24.971,24.789,22.981,25.201,27.712,20.696,25.70199966,24.666,22.784,16.20806313,25.182,23.742,26.487,25.348,23.06970596,21.97415733,24.6829052
2,A2,62,hypoxia,30.C,20.969,25.783,20.259,25.172,22.979,23.273,24.937,24.703,22.958,25.144,27.968,20.833,25.75499916,24.788,22.868,15.34010124,24.64,23.569,25.875,25.267,23.02594376,21.87520027,24.53565216
1,A1,62,hypoxia,30.C,20.899,25.789,20.348,25.044,23.273,23.287,24.765,24.883,22.831,25.221,27.71,21.056,25.92500037,24.877,23.312,18.11524391,25.111,23.846,25.908,25.332,23.08538852,21.87440535,24.52336484
2,A2,62,hypoxia,30.C,21.025,25.882,20.453,25.047,23.474,23.194,24.934,24.81,22.896,25.405,28.051,20.963,25.9730007,24.944,23.459,17.45926476,24.67,23.626,25.992,25.252,22.82976947,21.78887411,24.60945111
69,F9,66,hypoxia,30.C,23.206,29.344,22.862,28.023,25.533,26.05,28.347,28.362,25.291,27.279,30.529,23.183,27.67500037,27.401,25.318,20.73911858,26.731,25.922,28.608,28.086,26.61891971,22.74441191,27.3510378
